"Month","CommitsPerMonth"
"10-2011","94"
"11-2011","133"
"12-2011","80"
"01-2012","199"
"02-2012","137"
"03-2012","142"
"04-2012","65"
"05-2012","101"
"06-2012","49"
"07-2012","63"
"08-2012","24"
"09-2012","56"
"10-2012","110"
"11-2012","49"
"12-2012","65"
"01-2013","213"
"02-2013","172"
"03-2013","297"
"04-2013","264"
"05-2013","248"
"06-2013","70"
"07-2013","151"
"08-2013","60"
"09-2013","140"
"10-2013","202"
"11-2013","263"
"12-2013","304"
"01-2014","372"
"02-2014","267"
"03-2014","363"
"04-2014","333"
"05-2014","238"
"06-2014","256"
"07-2014","103"
"08-2014","168"
"09-2014","195"
"10-2014","177"
"11-2014","187"
"12-2014","150"
"01-2015","139"
"02-2015","123"
"03-2015","85"
"04-2015","165"
"05-2015","255"
"06-2015","165"
"07-2015","75"
"08-2015","73"
"09-2015","61"
"10-2015","87"
"11-2015","18"
"12-2015","77"
"01-2016","72"
"02-2016","64"
"03-2016","21"
"04-2016","56"
"05-2016","63"
"06-2016","99"
"07-2016","95"
"08-2016","89"
"09-2016","108"
"10-2016","46"
"11-2016","22"
"12-2016","22"
"01-2017","44"
"02-2017","38"
"03-2017","36"
"04-2017","32"
"05-2017","30"
"06-2017","58"
"07-2017","50"
"08-2017","20"
"09-2017","37"
"10-2017","33"
"11-2017","15"
"12-2017","42"
"01-2018","56"
"02-2018","78"
"03-2018","43"
"04-2018","63"
